Month,zara dress,chanel bag
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,17,20
2008-07,6,46
2008-08,0,55
2008-09,57,70
2008-10,87,25
2008-11,63,0
2008-12,70,29
2009-01,75,30
2009-02,67,52
2009-03,90,27
2009-04,67,10
2009-05,67,0
2009-06,113,0
2009-07,99,0
2009-08,96,0
2009-09,118,6
2009-10,64,0
2009-11,78,0
2009-12,117,0
2010-01,107,40
2010-02,139,39
2010-03,154,25
2010-04,101,41
2010-05,182,49
2010-06,176,42
2010-07,264,84
2010-08,176,68
2010-09,105,65
2010-10,196,74
2010-11,121,15
2010-12,158,50
2011-01,201,65
2011-02,193,92
2011-03,272,154
2011-04,153,146
2011-05,203,111
2011-06,198,191
2011-07,177,155
2011-08,237,232
2011-09,296,237
2011-10,294,282
2011-11,203,269
2011-12,268,222
2012-01,263,330
2012-02,245,227
2012-03,294,246
2012-04,359,215
2012-05,366,247
2012-06,256,283
2012-07,363,295
2012-08,285,242
2012-09,236,305
2012-10,204,195
2012-11,239,266
2012-12,181,216
2013-01,260,280
2013-02,261,325
2013-03,153,187
2013-04,167,264
2013-05,209,179
2013-06,209,227
2013-07,218,273
2013-08,227,192
2013-09,209,170
2013-10,283,275
2013-11,184,223
2013-12,178,227
2014-01,345,345
2014-02,222,342
2014-03,306,425
2014-04,244,351
2014-05,195,509
2014-06,183,450
2014-07,269,333
2014-08,320,295
2014-09,212,352
2014-10,145,433
2014-11,87,222
2014-12,86,271
2015-01,128,272
2015-02,115,142
2015-03,97,179
2015-04,101,147
2015-05,75,106
2015-06,124,135
2015-07,89,145
2015-08,74,109
2015-09,90,88
2015-10,51,108
2015-11,81,79
2015-12,15,38
